#name : ab85062f5bed5561d23fb387b28ad1ae_KRNX_META_1600000500000.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#file-type : meta-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#data-type : KRNX-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#id : ab85062f5bed5561d23fb387b28ad1ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#time : 1600000500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timestamp,ang1j,ang2j,ang3j,ang4j,ang5j,ang6j,ang_ref1j,ang_ref2j,ang_ref3j,ang_ref4j,ang_ref5j,ang_ref6j,cur1j,cur2j,cur3j,cur4j,cur5j,cur6j,io_do,io_di,internal,panelinfo_error_lamp,panelinfo_motor_lamp,panelinfo_cycle_lamp,panelinfo_repeat_lamp,panelinfo_run_lamp,panelinfo_trigger_lamp,panelinfo_teach_lock_lamp,panelinfo_emergency,error_code,error_level,proginfo_mon_robot_status,proginfo_mon_monitor_speed,proginfo_mon_always_speed,proginfo_mon_accuracy,proginfo_robot_status,proginfo_robot_exec_count,proginfo_robot_remain_count,proginfo_robot_program_name,proginfo_robot_priority,proginfo_robot_step_number,proginfo_robot_step_name
0,0.00043945,0.015747,-90.02,-0.0006593,-89.9436,0.00751653,0,0,-90,0,-90,-1.77E-08,-0.0130815,-0.248548,-0.200886,-0.00214006,-0.00642018,0.162644,0xb0000000,0x00000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,-1,-1,-1,-1,0,0,0,0,,14,50,30,1,1,3,-4,pick_bc_tr,0,30,        TWAIT 5
500,0.00043945,-0.00146484,-89.9991,-0.0006593,-90.0008,0.00395723,0,0,-90,0,-90,-1.77E-08,-0.00654074,-0.170059,-0.166359,0,-0.0406611,0.036381,0xb0000000,0x00000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,-1,-1,-1,-1,0,0,0,0,,14,50,30,1,1,3,-4,pick_bc_tr,0,30,        TWAIT 5
1000,0.00043945,-0.00073242,-89.9994,-0.0006593,-90.0005,-6.27E-06,0,0,-90,0,-90,-1.77E-08,-0.00654074,-0.156978,-0.172637,0.00214006,-0.0321009,-0.0107003,0xb0000000,0x00000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,-1,-1,-1,-1,0,0,0,0,,14,50,30,1,1,3,-4,pick_bc_tr,0,30,        TWAIT 5
1500,0.00043945,-0.00073242,-89.9994,-0.0006593,-90.0005,-0.00132471,0,0,-90,0,-90,-1.77E-08,-0.0130815,-0.156978,-0.175775,0,-0.0321009,-0.0107003,0xb0000000,0x00000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,-1,-1,-1,-1,0,0,0,0,,14,50,30,1,1,3,-4,pick_bc_tr,0,30,        TWAIT 5
2000,0.00043945,-0.00073242,-89.9994,-0.0006593,-90.0005,-0.00132471,0,0,-90,0,-90,-1.77E-08,-0.00654074,-0.163518,-0.172637,-0.00214006,-0.0342409,-0.00428012,0xb0000000,0x00000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,-1,-1,-1,-1,0,0,0,0,,14,50,30,1,1,3,-4,pick_bc_tr,0,30,        TWAIT 5
#2500,0.00043945,-0.00073242,-89.9994,-0.0006593,-90.0005,-0.00132471,0,0,-90,0,-90,-1.77E-08,-0.0130815,-0.163518,-0.175775,0,-0.0342409,-0.00214006,0xb0000000,0x00000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,-1,-1,-1,-1,0,0,0,0,,14,50,30,1,1,3,-4,pick_bc_tr,0,30,        TWAIT 5
#3000,0.00043945,-0.00073242,-89.9994,-0.0006593,-90.0005,-0.000665386,0,0,-90,0,-90,-1.77E-08,-0.00654074,-0.163518,-0.175775,-0.00214006,-0.0321009,-0.00214006,0xb0000000,0x00000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,-1,-1,-1,-1,0,0,0,0,,14,50,30,1,1,3,-4,pick_bc_tr,0,30,        TWAIT 5
#3500,0.00043945,-0.00073242,-89.9994,-0.0006593,-90.0005,-0.000665386,0,0,-90,0,-90,-1.77E-08,-0.00654074,-0.170059,-0.175775,-0.00214006,-0.0321009,-0.00214006,0xb0000000,0x00000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,-1,-1,-1,-1,0,0,0,0,,14,50,30,1,1,3,-4,pick_bc_tr,0,30,        TWAIT 5
#4000,0.00043945,-0.00073242,-89.9994,-0.0006593,-90.0005,-0.000665386,0,0,-90,0,-90,-1.77E-08,-0.00654074,-0.163518,-0.175775,-0.00214006,-0.0321009,-0.00214006,0xb0000000,0x00000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,-1,-1,-1,-1,0,0,0,0,,14,50,30,1,1,3,-4,pick_bc_tr,0,30,        TWAIT 5
#4500,0.00043945,-0.00073242,-89.9994,-0.0006593,-90.0005,-0.000665386,0,0,-90,0,-90,-1.77E-08,-0.00654074,-0.163518,-0.175775,-0.00214006,-0.0342409,-0.00214006,0xb0000000,0x00000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,-1,-1,-1,-1,0,0,0,0,,14,50,30,1,1,3,-4,pick_bc_tr,0,30,        TWAIT 5
